Type,Model,kH/s,C,M,V,W,Miner,Config,Notes (OS/TEMPS/DRIVERS/HARDWARE/FIRMWARE)
NVIDIA GPU,GTX 670,190,1097,3004,,,cudaMiner 2013-04-30,,
NVIDIA GPU,"GTX 670, EVGA",202,1267,3151,1.125 ?,,cudaMiner 2.3.2,auto,"Windows 7 x64, 70C. launch configuration K110x2"
NVIDIA GPU,GTX 680,202,1071,6008,,,cudaMiner 2013-11-15,-H 1 -C 2 -m 1 -d 0 -l K16x16 -i 0,
NVIDIA GPU,GTX 680,207,1240,6400,,,cudaMiner 2013-04-14,-l 233x2 -i 0,
NVIDIA GPU,"GTX 680, Gigabyte WF3",207,1072,6008,,,cudaMiner-2013-11-20,-H 1 -C 2 -m 1 -d 0 -l K16x16 -i 0,"Windows 7 x64, 56C, 331.65 driver, Asrock Z77, i5-2500k @ 4.5"
NVIDIA GPU,"GTX 760, 02G-P4-2761-KR",138,980,6008,,170,cudaMiner 2013-10-10,none,"Windows 7, i5 3450, 16GB RAM"
NVIDIA GPU,"GTX 760, Gigabyte",160,1240,1500,,,cudaMiner-2013-11-01,auto,
NVIDIA GPU,"GTX 760, ASUS",167,1200,7000,1.200v ?,,cudaMiner 2013-11-15,-i 1 -C 2 -H 1,Windows 7
NVIDIA GPU,"GTX 770, ZT-70303-10P",123,705,880,0.875 N,52,cudaminer-2013-07-13,-i 0 -C 0 -m 0 -l S112x2,"Windows 7 x64, 40C"
NVIDIA GPU,"GTX 770, Gigabyte",209,1137,1753,1.187 U,145,cudaMiner 2013-11-01,,"Windows 8, 67C, GK104, A2 firmware"
NVIDIA GPU,"GTX 770, Gigabyte",218,1137,1753,,,cudaMiner 2013-11-01,-D -H 1 -m 1 -d 0 -i 1 -l K16x16 -C 2,
NVIDIA GPU,"GTX 770 SC, 02G-P4-2774-KR EVGA",240,1280,3870,1.200 Y,,cudaMiner 2013-11-20,-H 1 -i 1 -l K16x16 -C 1,"Windows 7, 36C, 331.65 driver, watercooled, i7-4770k"
NVIDIA GPU,"GTX 780, PNY",320,860,1500,1.062 N,,cudaMiner 2013-11-20,auto,"Windows 8 x64, 84C, i5 3570k, x16-x16 risers"
NVIDIA GPU,"GTX 780 Ti, GV-N78TD5-3GD-B",430,,,,250,cudaMiner 2013-11-20,-i 0 -H 1 -lT30x16,"Windows 7 x64, 92C"
NVIDIA GPU,"GTX TITAN, ZT-70101-10P",320,993,1502,1.16 U,,cudaMiner 2013-11-20,-d 0 -i 0 -C 2 -l K14x18,"Windows 8.1 x64, 80C, 331.82 driver, i7-2600K @ 4.6GHz, MSI Z77 Mpower"
NVIDIA GPU,"GTX TITAN, ZT-70101-10P",366,1150,1502,1.075 U,,cudaMiner 2013-11-20,-d 0 -i 0 -C 2 -l K14x18,"Windows 8.1 x64, 73C, 331.82 driver, i7-2600K @ 4.6GHz, MSI Z77 Mpower"
NVIDIA GPU,Tesla C2075,162,575,1150,,130,cudaMiner 2013-07-13,-l 112x8 -i 0 -C 0,6GB
NVIDIA GPU,Tesla K40c,188,732,2600,N,140,cudaMiner,"-H 1 -l T444x1,T444x1 -C 2,2","Windows 7 x64, 67C, v331.40 driver in TCC mode"
NVIDIA GPU,"Quadro 5000, PNY",115,513,750,,,cudaMiner 2013.11.20,,"89C, Xeon E5620"
NVIDIA GPU,Quadro 6000,180,573,1494,N,,cudaminder 2013-10-10,"-H 0 -l F28x16,F28x16 -C 2,2","CentOS 6.4 x64, 88C, v325.15 driver"
NVIDIA GPU,Quadro K6000 and EVGA GTX Titan,485,797,3004,,163,cudaMiner 2013-10-10,-H 1 -l auto -C 2,"RHEL 6.4 x64 (Santiago), 80C"
Laptop / Mobile / Integrated,AMD 6620G,50,444,800,,,GUIMiner-scrypt 0.02,-I 15 -g 1 -w 256 --thread-concurrency 3200,"Windows 8 x64, 70C, Catalyst 13.9, SDK 2.8.1"
Laptop / Mobile / Integrated,AMD 7520G,29,686,800,,,cgminer 2.11.3,-I 9 -g 1 -w 64 --shaders 192,"Windows 7 x64, 75C, Samsung NP355V5C-A05UK"
Laptop / Mobile / Integrated,AMD 7640G,42,655,512,,,cgminer 3.7.2,-I 10 -g 1 -w 64 --thread-concurrency 2048,"Windows 7, 65C, A8-4500M @ 1.9GHz, BR42547 firmware"
Laptop / Mobile / Integrated,AMD 7660G,49,686,686,,,cgminer 2.11.4,-I 15 -g 1 -w 64 --thread-concurrency 2096,
Laptop / Mobile / Integrated,Intel HD 4000,13,850,1600,,12.9,"GUIMiner-scrypt alpha 0.04, cgminer 3.7.2",-I 13 -g 1 -w 64 --thread-concurrency 6144,"Windows 8 x64, 85C, ASUS Taichi21, loads one CPU thread to 100% @ 1700MHz"
Laptop / Mobile / Integrated,Intel HD 4000,17-18,,1600,,,"GUIMiner-scrypt 0.03, Reaper",aggression 10 worksize 64 gpu_thread_concurrency 4000,"Windows 7 x64, i7-3770"
Laptop / Mobile / Integrated,AMD 6310,12,500,533,0.875,,cgminer 3.6.0,,"windows 7 x64, 83C, Tosiba Satellite C660D-193"
Laptop / Mobile / Integrated,AMD 6320,14,600,1333,,,cgminer 2.11.3,-I 12 -w 64,"E-450, Shared memory"
Laptop / Mobile / Integrated,AMD 6530D,47,800,933,1.15,,cgminer 3.0.1,-I16 -g 1 -w 256,
Laptop / Mobile / Integrated,AMD 7660D,45,800,933,,,cgminer 3.3.1,--thread-concurrency 1536 -I 12,
Laptop / Mobile / Integrated,AMD 6470M,30,750,800,,,cgminer 3.6.0,-I 9,35kH/s @ i20
Laptop / Mobile / Integrated,AMD 6470M,45.5,950,1050,1.100 ?,,cgminer 3.1.0,-I 18 --thread-concurrency 6192,"Linux, 76C, EliteBook 8560p"
Laptop / Mobile / Integrated,AMD 6750M,6.785,600,900,,,MacMiner 1.4.20,Automatic,"Mavericks, MacBookPro8,2"
Laptop / Mobile / Integrated,AMD 6770M,70,750,216,,,cgminer 3.7.2,-I 11 -g 2 -w 128 --thread-concurrency 2400,"Windows 7 x64, 88C"
Laptop / Mobile / Integrated,AMD 6770M,100,2500,8000,,,GUIMiner,,MS-7576
Laptop / Mobile / Integrated,"AMD 6770M, 1002-6740",110,815,919,1.054 N,,cgminer 3.5.1,-I 15 -w 256 --thread-concurrency 3200,"Windows 7 x64, 70C, i7 2720QM, Dell 08V9YG, 8GB RAM, BR038688.001 firmware"
Laptop / Mobile / Integrated,AMD 6990M,360,,,,,cgminer,"-I 11,16 -g 1 -w 128 --thread-concurrency 5600",Windows 7 x64. M18X
Laptop / Mobile / Integrated,AMD 7600M,82,600,900,1,,cgminer 3.5.0,-I 18 -w 256 --thread-concurrency 8192,"Windows 8.1, 76C, HP Pavilion G6"
Laptop / Mobile / Integrated,"AMD 7670M, HP",81,800,4000,N,,cgminer 3.7.2,-I 15 -w 256 --thread-concurrency 3200,"Windows 7, 67C"
Laptop / Mobile / Integrated,AMD 7730M,90,575,900,,,cgminer 3.7.2,-I 13,
Laptop / Mobile / Integrated,AMD 7850M,112,675,1000,0.950 ?,,cgminer 3.7.2,-I 13 --thread-concurrency 8192,"Windows 7 x64, Catalyst 13.1, 95-98°C"
Laptop / Mobile / Integrated,AMD 7970M,305,850,1200,1.00 Y,,GUIMiner,-I 18,"Windows 8.1 x64, 90C, 3610QM, Clevo P150"
Laptop / Mobile / Integrated,AMD 7970M,360,900,1500,,,GUIMiner-scrypt,-I 16 -w 256 --thread-concurrency 8192,"68C, i7"
Laptop / Mobile / Integrated,"AMD 8670M, HP",52,975,1000,1.125 N,,cgminer 3.0.0,-I 16,"Windows 7, 56C, HM76, Intel 2020M @ 2.4GHz, HP Pavilion 15"
Laptop / Mobile / Integrated,AMD 8870M,200,900,1250,1.000 ?,30,cgminer 3.7.2,-I 18 -g 1 -w 256 --thread-concurrency 10240,"Windows 8 x64, 71C, atiumdag 9.3.5.0"
Laptop / Mobile / Integrated,AMD 8970M,250,950,1250,Y,,GUIMiner-scrypt,-I 12 --thread-concurrency 4096,"Windows 8 x64, 88C, Catalyst 13.10, MSI GX70 laptop"
Laptop / Mobile / Integrated,NVIDIA Quadro NVS 140M,2,,,,,cgminer,,
Laptop / Mobile / Integrated,NVIDIA Quadro 2000,50,625,652,,,cudaMiner,-l 43x4,
Laptop / Mobile / Integrated,"NVIDIA Quadro 4000, PNY",80,950,1404,,,cudaMiner 2013.11.20,#NAAM?,
Laptop / Mobile / Integrated,NVIDIA 8600M GT,5,,,,,cudaMiner 4-22-13,,"Windows Vista, Dell 1520"
Laptop / Mobile / Integrated,NVIDIA 9600M GT,9.6,,,,,cudaMiner 2013-04-14,,Ubuntu 12.4 x86
Laptop / Mobile / Integrated,NVIDIA GT 240M,15.4,550,790,0.900 ?,,cudaMiner,-l 54x2,"Windows 7 x64, GT216"
Laptop / Mobile / Integrated,NVIDIA GTX 460M,30,675,1250,,,Reaper v13 Beta,aggression 15,
Laptop / Mobile / Integrated,NVIDIA GTX 460M,55,,,,,cudaMiner 4-22-13,,Sager NP8130
Laptop / Mobile / Integrated,NVIDIA GT 540M,26,672,900,0.980 ?,,cudaMiner 2013-11-01,-H 1 -d 0 -i 1 -l auto -C 2,"Windows 8, 95C, Asus N53SV"
Laptop / Mobile / Integrated,NVIDIA GT 540M,27,1344,900,,,cudaMiner,-d 0 -i 1 -l auto -C 0 -m 1,"Windows 7 x64, 75C, driver 327.23"
Laptop / Mobile / Integrated,NVIDIA GT 540M,28.83,672,1600,,,cudaminer 2013-11-15,-d 0 -i 1 -C 2 -l K4x16 -H 1,"Windows 8.1 x64, driver 331.82"
Laptop / Mobile / Integrated,"NVIDIA GT 555M, DDR3",24.5,590,1800,,,cudaMiner 11-20-13,,"Windows 8.1 x64, 331.65 driver, Dell XPS 17 L702X"
Laptop / Mobile / Integrated,NVIDIA GT 620M,27,625,1500,,,cudaMiner 2013-10-10,#NAAM?,Windows 8.1
Laptop / Mobile / Integrated,NVIDIA GT 630M,26.38,800,800,,,cudaMiner 2013-11-20 (alpha),#NAAM?,DELL embedded
Laptop / Mobile / Integrated,NVIDIA GT 650M,34,950,900,,,cudaMiner 2013-04-30,-l 6x6,
Laptop / Mobile / Integrated,NVIDIA GT 650M,38,735,1000,,,cudaMiner 2013-11-20,-l K32x2 -i 0 -C 2 -m 1 -H 1,"OS X 10.9, CUDA driver 5.5.28, MacBookPro9,1"
Laptop / Mobile / Integrated,NVIDIA GT 650M,39,745,2048,,,cudaMiner 2013-11-15,--no-autotune -l K4x24 -H 1 -C 2,"Windows 7 x64, driver 9.18.13.3165, Dell Inspiron, i5-3230M @ 2.6GHz, 8GB RAM"
Laptop / Mobile / Integrated,NVIDIA GTX 660M,36,405,2500,"0,912 Y",,cudaMiner-2013-11-01,-H 1,"Windows 7 x64, 65C, Asus G75V"
Laptop / Mobile / Integrated,NVIDIA GTX 680M,124,1000,1000,0.900 ?,,cudaMiner,-i 0 -C 2 -m 1 -l 14x8,"Windows 7, 72C, i7-3940xm, Sager"
Laptop / Mobile / Integrated,NVIDIA GTX 680M,150.3,1111,1050,0.986 ?,,cudaMiner 2013-11-01,14x16,"windows 7, 72C, Clevo"
Laptop / Mobile / Integrated,NVIDIA GTX 780M,150,888,2747,1.000 Y,,cudaMiner 2013-11-15,,Clevo
Laptop / Mobile / Integrated,NVIDIA GTX 780M,248,888,2747,1.000 ?,,cudaMiner 2014-01-20,-H 1 -d 0 -i 0 -l Y16x16,Mac OS X 10.9.1
,,,,,,,,,
AMD CPU,Geode LX 800,0.12,,0.5,1,,Ubuntu 11.04 x86,,
AMD CPU,Fusion E-350,2.4,,1.6,2,18 (TDP),Debian 6,,
AMD CPU,Athlon 64 X2 5600+,6.07,,2.8,2,89 (TDP),Gentoo x64,,
AMD CPU,Sempron 145,10.65,,2.8,2,45 (TDP),Gentoo x64,,
AMD CPU,Athlon II X3 425,~9.5,,2.7,4,95 (TDP),Windows 7 x86,"-t 4 -v -g no, Unlocked core",
AMD CPU,Phenom II X4 940 BE,20,,3,4,125 (TDP),"Debian 6, 2.6.32-5-amd64",nice 19,
AMD CPU,Phenom II X4 955 BE,22,,3.2,4,125 (TDP),Windows 7 x64,,
AMD CPU,Phenom II X4 955 BE,27.85,,3.9,4,125 (TDP),Windows 7 x64,,
AMD CPU,Phenom II X4 965 BE,~25,,4,4,125 (TDP),Windows 7 x64,low priority,
AMD CPU,Phenom II X6 1045T,30.4,,2.7,6,95 (TDP),Windows 7 x64,--s 6 --threads 6,
AMD CPU,Phenom II X6 1055T,34.6,,3.1,6,125 (TDP),Windows 7 x64,,
AMD CPU,Phenom II X6 1055T,40.1,,3.5,6,95 (TDP),Gentoo,,
AMD CPU,FX-6300,50.6,,4.5,6,,Windows 7 x64,,
AMD CPU,FX-8120,46,,3.25,8,,Windows 7 x64,,
AMD CPU,FX-8120,65,,4.5,4M/8T,125 (TDP),Windows 7 x64,modifed with XOP instructions,
AMD CPU,FX-8150,56,,3.6,4M/8T,125 (TDP),Ubuntu 11.10,,
AMD CPU,FX-8350,41,,4,8,125 (TDP),Ubuntu 12.10,,
AMD CPU,FX 8350,57,,4,,,,#NAAM?,
AMD CPU,FX-8350,65,,4,8,125 (TDP),Windows 7 x64,,
Intel CPU,Pentium M 740,0.8,,1.73,1,,Windows XP x86,,
Intel CPU,Pentium M,1.23,,1.6,1,,Gentoo x86,,
Intel CPU,Atom N270,2.57,,1.66,1,5.5 (TDP),Ubuntu x86,,
Intel CPU,Atom N270,2.78,,1.8,,,Windows XP,"-D, 58C",
Intel CPU,Atom N450,2.61,,1.66,1,5.5 (TDP),Ubuntu x64,,
Intel CPU,Atom N2600,4.88,,1.06,,,Windows 7 SP1,#NAAM?,
Intel CPU,Atom N2800,5.81,,1.87,2 (4 threads),6.5 (TDP),Xubuntu 12.04 x64,with no desktop just command line,
Intel CPU,Celeron 440,4,,2,1,35 (TDP),Ubuntu 12.04 x64,,
Intel CPU,Pentium Dual T3400,8.5,,2.16,2,35 (TDP),Ubuntu 12.04 x64,,
Intel CPU,Core 2 Duo MacBook Pro 5.2 (2009),11,,2.8,,,OSX 10.8.5 x64,,
Intel CPU,Core 2 Duo T5500,7.28,,1.66,2,,Gentoo x64,,
Intel CPU,Core 2 Duo T6570,9.52,,2.1,,,Windows 7 SP1,,
Intel CPU,Core 2 Duo T7250,5,,2,2,,Ubuntu 8,running under wine,
Intel CPU,Core 2 Duo T7250,6,,2,,,Windows 7 x86,Dell Latitude D530,
Intel CPU,Core 2 Duo T7500,6.5,,2.2,2,,Windows Vista x86,,
Intel CPU,Core 2 Duo T9500,17.76,,2.6,2,35 (TDP),Windows 7 x64,-t 2,
Intel CPU,Core 2 Duo E2200,9.2,,2.9,2,,Windows XP x86,-t 2,
Intel CPU,Core 2 Duo E4300,3.25,,1.8,,,Windows 9 x64,--threads 2,
Intel CPU,Core 2 Duo E6600,10.45,,2.4,2,,Windows 7 x64,,
Intel CPU,Core 2 Duo E7300,7,,2.7,2,92,Windows XP x86,idle priority,
Intel CPU,Core 2 Duo E7500,13.1,,2.93,2,,Windows 7 x64,,
Intel CPU,Core 2 Quad Q6600,9.68,,2.4,4,105 (TDP),Debian sid x64,"-t 4, ~398% usage",
Intel CPU,Core 2 Quad Q8400,21.6,,2.66,4,,Windows 7 x64,,
Intel CPU,Core 2 Quad Q9550,27.5,,2.83,4,,Windows 7 x64,,
Intel CPU,Core 2 Quad Q9550,32.2,,3.4,4,,Windows 7 x64,,
Intel CPU,Core 2 Extreme QX9775,29.2,,3.2,4,350,Windows 7 x64,power draw is for dual cpu,
Intel CPU,Core i3-450,15,,2.9,,,,,
Intel CPU,Core i3-540,15.4,,3.06,2 (4 HT),,Windows 7 x64,0,
Intel CPU,Core i3-2100,19,,3.1,2 (4 HT),29,Windows 7 x64,#VERW!,
Intel CPU,Core i3-2120,21.5,,3.3,2 (4 HT),65 (TDP),Windows 7 x64,"-t4, 61C with stock cooler",
Intel CPU,Core i3-2130,23,,3.4,2 (4 HT),65 (TDP),Windows Server 2008 x64,0,
Intel CPU,Core i5-520M,12,,2.4,,,Slackware64 14.0,-t 4 -r 6,
Intel CPU,Core i5-650,17.18,,3.2,2 (4 HT),,Fedora 18 x64,,
Intel CPU,Core i5-750,30,,3.3,4,96 (TDP),Windows 8 x64,,
Intel CPU,Core i5-2467M,12,,1.6,4,,Windows 7 x64,,
Intel CPU,Core i5-2400S,32.8,,2.5,4,,Mint 13,,
Intel CPU,Core i5-2500T,28,,2.4,4,45 (TDP),Ubuntu 11.10,--,
Intel CPU,Core i5-2500K,31,,5,4,103,Windows 7 x64,low priority,
Intel CPU,Core i5-2500K,48,,4.9,4,90,Windows 8 x64,low priority,
Intel CPU,Core i5-3470,43,,3.2,4,77 (TDP),Ubuntu 12.10,--,
Intel CPU,Core i5-3570K,55,,4.5,4,83,Windows 7 x64,low priority,
Intel CPU,Core i7-740QM,16,,1.73,4 (8 HT),,Windows 7 x64,--,
Intel CPU,Core i7-860,25,,2.8,4 (8 HT),153,Gentoo x64,"CFLAGS=""-O3 -msse2""",
Intel CPU,Core i7-870,35.4,,3.4,4 (8 HT),,Windows 7 x64,0,
Intel CPU,Core i7-920,37,,2.67,4 (8 HT),,Windows 7 x64,,
Intel CPU,Core i7-920,41,,4,4 (8 HT),,Windows 7 x64,,
Intel CPU,Core i7-2600,47.15,,3.4,4 (8 HT),,Ubuntu 11.10,,
Intel CPU,Core i7-2600K,49,,4.6,4 (8 HT),,Windows 7 x64,normal priority,
Intel CPU,Core i7-2700K,50,,3.9,4 (8 HT),80,Windows 7 x64,,
Intel CPU,Core i7-3630QM,39,,3.29,4 (8 HT),49,Windows 7 x64,,
Intel CPU,Core i7-3770,60,,4.38,4 (8 HT),,Windows 7 x64,"bclck 107 mhz, Multiplier 41",
Intel CPU,Core i7-3930K,98,,4.5,6 (12 HT),200,Windows 7 x64,"-t 11, Last thread used for GPU Mining",
Intel CPU,Core i7-3960X,101,,4.29,6 (12 HT),,Windows 7 x64,,
Intel CPU,Core i7-2630QM,16,,2,4 (8 HT),50,Windows 7 x64,-t 6,
Intel CPU,Core i7-2630QM,21,,2,,,Windows 7 x64,#NAAM?,
Intel CPU,Core i7-2760QM,38,,2.4,4 (8 HT),,Ubuntu 11.10 x64,"CFLAGS=""-m64 -O3""",
Intel CPU,Core i7-3720QM,37,,2.6,4 (8 HT),45 (TDP),Windows 7 x64,,
Intel CPU,Core i7-3720QM,42,,2.6,4 (8 HT),,Windows 8 x64,,
Intel CPU,Core i7-4770,80,,3.4,4,84,Windows 7 x64,"-t 4, 70C",
Intel CPU,Core i7-4770,93,,3.4,4 (8 HT),84 (TDP),Windows 8.1 x64,,
Intel CPU,Core i7-4770,95,,3.4,4 (8 HT),84 (TDP),Debian 7,,
Intel CPU,Xeon 5160,17,,3,,,,,
Intel CPU,Xeon 5160,20.79,,3,,,Windows 7 x64,"Dual CPU, Supermicro X7DAL-E",
Intel CPU,Xeon L3426,19.36,,1.87,4 (8 HT),45 (TDP),Ubuntu x64,,
Intel CPU,Xeon E5405,18.8,,2,4,,Ubuntu x64,,
Intel CPU,Xeon X5450,22,,3,4,120 (TDP),Ubuntu Server 10.04.3 LTS x64,nice 19,
Intel CPU,Xeon E5504,42,,2,2x4,,Gentoo x64,"Dual CPU, -t16",
Intel CPU,Xeon E5620,26.4,,2.4,4 (8 HT),,Ubuntu x64,,
Intel CPU,Xeon E3-1220,40.5,,3.1,4 (1 HT),80 (TDP),Ubuntu x64,,
Intel CPU,Xeon E3-1230,44.4,,3.2,4 (8 HT),80 (TDP),Debian 6,,
Intel CPU,Xeon E5-1620,50.18,,3.6,,,,,
Intel CPU,Xeon E5-1650,64.61,,3.2,6 (12 HT),130 (TDP),Ubuntu x64,,
Intel CPU,Xeon E5-2620,93.91,,2,,,Gentoo Linux,"Dual CPU, 6017R-NTF, DDR3-1333MHz",
Intel CPU,Xeon E5-2630L,41,,2,6 (12 HT),60 (TDP),Debian x64,,
Intel CPU,Xeon E5-2650,129.3,,2,,200,Windows Server 2012,"Dual CPU, hyperthreading, 32 total logical cores",
Other,MIPS32 BCM6368[1],0.16,,400,200,,"CFLAGS=""-O3 -mips32""","OpenWRT Barrier Breaker r38364, Comtrend VR-3025un, running the 2 BMIPS4350 cores; 0.08 kilohash/s per core; kernel 3.10.13",
Other,PowerMac G5 DP 2.3,8.5,,2300,2,285,"CFLAGS=""-O3 -mcpu=970 -fstrict-aliasing""",Gentoo Linux x64,
Other,PlayStation3,38,,3200,"1 (2 Hyper), 6 SPU",129,SPU code compiled with spu-elf-gcc 4.6.2,"Gentoo Linux x86, FAT 80GB, FW 3.15",
Other,ARM 1176JZ(F)-S,0.19,,412,1,,,"Darwin 10, iPhone 3G",
Other,ARM 1176JZF-S,0.5,,1000,1,3.5,,"Raspbian, Raspberry Pi (Model B)",
Other,ARM Cortex-A8,0.62,,800,1,,"CFLAGS=""-O3 -mfpu=neon""",Ubuntu 10.10,
Other,ARM Cortex-A8 (L2=512KiB),0.99,,1000,1,,"CFLAGS=""-O3 -mfpu=neon""","Android 2.2, Samsung GT-P1000",
Other,ARM Cortex-A9,2.39,,1200,2,,"CFLAGS=""-O3 -mfpu=neon""","Debian 7 armhf, Samsung Galaxy S II",
Other,ARM Cortex-A9 (L2=1MiB),2.78,,1000,4,,"CFLAGS=""-O2""","Linaro Ubuntu LIB-12.09.6A, Freescale i.MX6 Quad, Sabre-Lite Board",
Other,ARM Cortex-A9 (L2=1MiB),3.52,,1000,4,,"CFLAGS=""-O3 -mfpu=neon""","Linaro Ubuntu LIB-12.09.6A, Freescale i.MX6 Quad, Sabre-Lite Board, 70C",
Other,ARM Cortex-A9,4.72,,1400,4,6,"CFLAGS=""-O3 -mfpu=neon""","Gentoo armhf, ODROID-X (undervolted)",
Other,ARM Cortex-A9,2.98,,1500,2,6,"CFLAGS=""-O3 -mpfu=neon""","QNX BB10 10.1, Dev Alpha C",
Other,ARM Cortex-A15,3.81,,1700,2,,"CFLAGS=""-O3 -mfpu=neon""","Gentoo armhf, Samsung Chromebook XE303C12",
Other,ARM Cortex-A15,4.09,,1700,2,15,"CFLAGS=""-O3 -mfpu=neon-vfpv4""","ChrUbuntu 12.04, Samsung Chromebook XE303C12",
Other,Qualcomm Krait,4.03,,1500,2,,"CFLAGS=""-O3 -mfpu=neon""","Android 4.0.3, HTC One X",
Other,Qualcomm Krait,3.98,,1500,2,6,"CFLAGS=""-O3 -mfpu=neon""","QNX BB10 10.0.9, Verizon Z10",
Other,Qualcomm Krait APQ8064,7.2,,1500,4,,,"Android 4.1.2, Xiaomi Mi2, Neon, http://i.imgur.com/GGFqCI0.png",
Other,Sun UltraSPARC-II,0.17,,450,1,,"CFLAGS=""-m64 -mcpu=v9 -xO5""",Solaris 10,
Other,Fujitsu SPARC64-VII,8.96,,2400,4 (8 SMT),,"CFLAGS=""-m64 -mcpu=v9 -xO5""",Solaris 10,
Other,Oracle UltraSPARC T2,2.48,,1415,8 (64 SMT),123,"CFLAGS=""-m64 -mcpu=v9 -xO5""",Solaris 10,
Other,Oracle UltraSPARC T4,11.87,,2850,8 (64 SMT),,"CFLAGS=""-xtarget=t4 -m64 -xO5""",Solaris 11,
Other,IBM Power 7,16.4,,3100,8,,"CFLAGS=""-maix64 -O3""","AIX 6.1, 2.05 kH/s per CPU core",
Other,Amazon High-CPU Extra Large Instance,38,,,8,,"CFLAGS=""-O3""",Ubuntu 12.04.1,
