Name,Market Cap ($),Price,Volume (24h),Circulating Supply
DigiByte,71911278.00,0.005583,824878,"12,880,917,393 DGB"
Terra,69579757.00,0.241793,8833953,"287,765,804 LUNA *"
HyperCash,68403697.00,1.54,24719969,"44,528,736 HC"
BitShares,67994323.00,0.024727,5238498,"2,749,800,000 BTS *"
Steem,64464471.00,0.178248,1524589,"361,656,784 STEEM *"
Binance USD,64444906.00,1,65709859,"64,396,628 BUSD *"
Swipe,62998820.00,1.03,18075408,"61,123,111 SXP *"
IOST,62702434.00,0.005219,32452849,"12,013,965,609 IOST *"
Aion,61811979.00,0.154231,7094352,"400,776,284 AION"
Zilliqa,59927146.00,0.006027,78526799,"9,942,807,276 ZIL"
Verge,59429026.00,0.00367,691527,"16,193,811,143 XVG"
Seele,55616787.00,0.079499,26655279,"699,587,206 SEELE *"
Golem,55320275.00,0.056446,3212713,"980,050,000 GNT *"
aelf,54594824.00,0.10027,60876251,"544,480,200 ELF *"
Chiliz,53171119.00,0.011642,6399017,"4,567,133,626 CHZ *"
Matic Network,52145978.00,0.020381,33276927,"2,558,503,686 MATIC *"
Status,52100027.00,0.015012,29213870,"3,470,483,788 SNT *"
Molecular Future,51793438.00,0.608789,9121431,"85,076,146 MOF *"
Aeternity,50848589.00,0.167894,9674993,"302,860,498 AE"
ABBC Coin,50798064.00,0.091459,28278377,"555,416,914 ABBC"
Ren,49398449.00,0.058054,3217255,"850,903,651 REN *"
Ardor,48956015.00,0.049005,1894273,"998,999,495 ARDR *"
Zcoin,48570252.00,5.07,5757398,"9,586,443 XZC"
Dragon Coins,47656304.00,0.136685,7768,"348,657,484 DRG *"
RIF Token,44038801.00,0.077334,7695266,"569,460,014 RIF *"
WAX,43567553.00,0.041348,1251586,"1,053,674,051 WAXP *"
Power Ledger,42937712.00,0.100149,16331006,"428,738,728 POWR *"
Decentraland,42094554.00,0.040085,13970730,"1,050,141,509 MANA *"
iExec RLC,42050057.00,0.525161,364388,"80,070,793 RLC *"
